file,raw_mean,processed_mean,raw_laplacian_var,processed_laplacian_var,raw_ink_fraction,processed_ink_fraction
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_1.jpg,213.5761067464771,209.74298540965208,1482.6652371437142,14952.747130727263,0.1891757076942262,0.1774784885895997
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_10.jpg,229.48708252807106,227.66067977447332,1056.7752097750522,8587.311020233416,0.11418086856522225,0.1072130204922615
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_11.jpg,233.88214819444067,232.4260250523055,801.6806970437857,7221.073687724545,0.0943645898432193,0.08852539195174307
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_12.jpg,223.5278318895843,221.76449620756827,1224.279333005961,10401.5204554963,0.14055622331827414,0.1303353089899283
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_2.jpg,231.7929166803131,229.30728637867225,839.1012531640425,8413.499813090768,0.10520174892739004,0.10075573969148134
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_3.jpg,235.4113864751162,233.45213381588374,707.8989518017664,6907.903291519261,0.08876355642104361,0.08450143601614217
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_4.jpg,233.55432862010568,231.61186264308012,814.9058764813753,7618.954031364744,0.09678235498153476,0.09171818571341127
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_5.jpg,234.23155017070104,232.18176450958748,798.7104655619864,7427.708659404393,0.09365133352157506,0.08948327643299021
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_6.jpg,229.20553583858245,226.8241971659119,1069.9131371307851,9250.09108474952,0.11593293746616366,0.11049334444740437
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_7.jpg,232.56588379551027,230.61521411054517,879.2305328568417,8051.151676922763,0.10132050556498774,0.09562661133119538
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_8.jpg,234.25807658301028,232.74368867207065,771.2655396731151,7016.201199304875,0.0932091780898147,0.08727965226638967
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1/1_1_9.jpg,224.99065374934906,222.72109876757509,1350.839538735708,10355.21137511822,0.13410757680958166,0.12658392640166638
data/work/Sample_Small/Segmentation_Images/Lines/1/1_1.jpg,241.3807232157642,240.2522754738431,523.9235575472221,4754.24443640376,0.06140614849631243,0.057834213828066285
